================================================================================
Count of Words: Data Structure Edition - Output Report
================================================================================
Arquivo Analisado: input/a_riqueza_das_nacoes_english.txt
Estrutura de Dados: Árvore AVL
Data de execução: sábado, 12 de julho de 2025 - 12:44:15
Quantidade de palavras: 385720

================================================================================
Tabela de Frequências
================================================================================
Palavra           | Frequência
1463              | 3    
1464              | 1    
1486              | 1    
1487              | 1    
1491              | 1    
1492              | 1    
1494              | 1    
1495              | 1    
1497              | 2    
1499              | 1    
14s               | 5    
14th              | 7    
15                | 29   
15,287            | 1    
15,293            | 1    
150               | 1    
150,000           | 1    
1500              | 2    
1504              | 2    
1512              | 3    
1521              | 1    
153               | 1    
154               | 1    
1545              | 1    
155,463           | 1    
1551              | 1    
1553              | 1    
1554              | 2    
1555              | 1    
1556              | 1    
1557              | 1    
1558              | 2    
1559              | 1    
1560              | 1    
1561              | 1    
1562              | 3    
157               | 1    
1570              | 4    
1574              | 1    
1575              | 1    
1587              | 1    
159               | 1    
1594              | 1    
1595              | 5    
1596              | 2    
1597              | 3    
1598              | 3    
1599              | 3    
15s               | 3    
15th              | 4    
16                | 42   
16,316            | 1    
16,394,701        | 1    
16,593            | 1    
16,900,000        | 1    
160,000           | 1    
1600              | 5    
1601              | 3    
1602              | 1    
1603              | 1    
1604              | 1    
1605              | 1    
1606              | 1    
1607              | 1    
1608              | 1    
1609              | 3    
1610              | 2    
1611              | 1    
1612              | 3    
1613              | 1    
1614              | 2    
1615              | 1    
1616              | 1    
1617              | 1    
1618              | 1    
1619              | 1    
1620              | 4    
1621              | 2    
1622              | 1    
1623              | 1    
1624              | 1    
1625              | 1    
1626              | 1    
1627              | 1    
1628              | 1    
1629              | 1    
163               | 1    
1630              | 2    
1631              | 1    
1632              | 1    
1633              | 1    
1634              | 1    
1635              | 1    
1636              | 5    
1637              | 3    
1638              | 1    
1639              | 1    
1640              | 3    
1641              | 1    
1643              | 1    
1645              | 1    
1646              | 1    
1647              | 1    
1648              | 2    
1649              | 2    
165,463           | 1    
1650              | 1    
1651              | 1    
1652              | 1    
1653              | 1    
1654              | 1    
1655              | 2    
1656              | 1    
1657              | 1    
1658              | 1    
1659              | 1    
1660              | 2    
1661              | 2    
1662              | 1    
1663              | 1    
1664              | 2    
1665              | 1    
1666              | 2    
1667              | 3    
1668              | 2    
1669              | 1    
167,171           | 1    
167,806           | 1    
1670              | 1    
1671              | 2    
1672              | 4    
1673              | 1    
1674              | 2    
1675              | 1    
1676              | 1    
1677              | 1    
1678              | 2    
1679              | 1    
168               | 1    
168,226           | 2    
1680              | 1    
1681              | 1    
1682              | 1    
1683              | 1    
1684              | 1    
1685              | 2    
1686              | 1    
1687              | 2    
1688              | 7    
1689              | 1    
1690              | 1    
1691              | 2    
1692              | 4    
1693              | 2    
1694              | 2    
1695              | 8    
1696              | 3    
1697              | 6    
1698              | 3    
1699              | 3    
16s               | 9    
16th              | 2    
17                | 36   
17,592            | 1    
1700              | 4    
1701              | 6    
1702              | 3    
1703              | 4    
1704              | 1    
1705              | 1    
1706              | 2    
1707              | 3    
1708              | 5    
1709              | 3    
1710              | 4    
1711              | 4    
1712              | 3    
1713              | 2    
1714              | 3    
1715              | 3    
1716              | 2    
1717              | 3    
1718              | 1    
1719              | 2    
1720              | 4    
1721              | 1    
1722              | 7    
1723              | 2    
1724              | 3    
1725              | 2    
1726              | 2    
1727              | 4    
1728              | 1    
1729              | 1    
1730              | 2    
1731              | 3    
1732              | 2    
1733              | 2    
1734              | 2    
1735              | 1    
1736              | 6    
1737              | 1    
1738              | 1    
1739              | 7    
1740              | 5    
1741              | 6    
1742              | 2    
1743              | 2    
1744              | 1    
1745              | 4    
1746              | 3    
1747              | 5    
1748              | 6    
1749              | 3    
1750              | 8    
1751              | 3    
1752              | 2    
1753              | 4    
1754              | 2    
1755              | 10   
1756              | 5    
1757              | 3    
1758              | 1    
1759              | 6    
1760              | 2    
1761              | 3    
1762              | 3    
1763              | 9    
1764              | 16   
1765              | 2    
1766              | 5    
1767              | 2    
1768              | 1    
1769              | 4    
1770              | 2    
1771              | 5    
1772              | 4    
1773              | 7    
1774              | 5    
1775              | 14   
1776              | 2    
1777              | 1    
1778              | 2    
1779              | 3    
1780              | 2    
1781              | 6    
1782              | 3    
1783              | 1    
1784              | 1    
1785              | 1    
1786              | 1    
1791              | 1    
17s               | 4    
18                | 29   
18,000,000        | 1    
18;000            | 1    
1800              | 1    
181               | 1    
1887              | 1    
18d               | 1    
18s               | 1    
18th              | 2    
19                | 14   
19,000,000        | 1    
19,315            | 1    
19,885            | 1    
190               | 1    
19s               | 4    
19th              | 1    
1d                | 1    
1s                | 8    
1st               | 13   
2                 | 175  
2,055,999         | 1    
2,156,800         | 1    
2,186             | 1    
2,201,171         | 1    
2,250,000         | 1    
2,324,600         | 1    
2,333,446         | 1    
2,455,500         | 1    
2,595,835         | 1    
2,600,000         | 1    
2,743,400         | 1    
2,832             | 1    
2,876,685         | 1    
2,885             | 1    
20                | 7    
200,000           | 1    
200,000,000       | 1    
2000              | 1    
2001              | 1    
2002              | 1    
2024              | 1    
206               | 1    
206,501           | 1    
20s               | 5    
20th              | 1    
21                | 4    
21,250            | 1    
21,290            | 1    
21,333,333        | 1    
21,515,742        | 1    
210               | 1    
211               | 1    
21s               | 1    
21st              | 2    
22                | 3    
22,237            | 1    
220               | 1    
223               | 3    
224               | 1    
225               | 2    
22d               | 3    
22s               | 1    
23                | 1    
23,728            | 1    
237,000           | 1    
23d               | 3    
23rd              | 1    
24                | 1    
24,000,000        | 1    
240               | 3    
241               | 1    
247               | 1    
24s               | 3    
24th              | 7    
25                | 3    
250,000           | 1    
2500              | 1    
252,231           | 2    
256               | 1    
258               | 1    
25th              | 6    
26                | 4    
26,932            | 1    
26th              | 1    
27                | 1    
275               | 1    
276               | 1    
278,650           | 1    
27th              | 1    
28                | 3    
280               | 1    
280,832           | 1    
287               | 1    
287,900           | 1    
28s               | 4    
29                | 2    
29,367            | 1    
293               | 1    
294               | 1    
29th              | 1    
2dly              | 1    
2nd               | 1    
2s                | 8    
3                 | 100  
3,000,000         | 3    
3,083             | 1    
3,200,000         | 1    
3,341,837         | 1    
3,375,027         | 2    
3,400,000         | 1    
3,413,431         | 1    
3,662,784         | 1    
3,825,000         | 1    
30                | 4    
30,000            | 2    
30,000,000        | 1    
30,754            | 1    
300               | 3    
300,000           | 2    
301               | 1    
308               | 1    
30s               | 2    
31,338,689        | 1    
310               | 3    
310,745           | 1    
315,000           | 1    
316               | 1    
31st              | 7    
32                | 2    
320,601           | 1    
323,785           | 1    
324,176           | 1    
325               | 1    
32s               | 5    
33                | 3    
33,000,000        | 1    
33,750            | 1    
33,992            | 1    
3300              | 1    
3335              | 1    
340               | 1    
343               | 1    
344               | 1    
35                | 1    
350               | 1    
3500              | 1    
356,776           | 1    
36s               | 1    
37                | 2    
373               | 1    
378,347           | 3    
379               | 1    
37th              | 1    
38                | 1    
39                | 1    
39th              | 1    
3d                | 3    
3dly              | 1    
3rd               | 5    
3s                | 12   
4                 | 122  
4,000             | 2    
4,000,000         | 1    
4,150,236         | 1    
4,402,343         | 1    
4,500             | 1    
4,975,652         | 1    
40                | 2    
40,107,239        | 1    
40,958            | 1    
400,000           | 5    
4000              | 1    
405,406           | 1    
408,260           | 1    
40s               | 5    
41,316            | 1    
411,117           | 1    
42,055            | 1    
42,333            | 1    
43                | 1    
43,313            | 1    
436               | 1    
439               | 1    
439,000           | 1    
43d               | 1    
44                | 1    
44s               | 2    
45                | 1    
4500              | 1    
46                | 3    
46,954,623        | 1    
463,670           | 1    
47                | 2    
472,500           | 1    
474               | 1    
48                | 3    
48,315            | 1    
48lbs             | 1    
48s               | 10   
49,940            | 1    
4d                | 10   
4s                | 13   
4th               | 10   
5                 | 44   
5,000             | 1    
5,068,000         | 1    
5,121,041         | 1    
5,160,459         | 1    
5,333,333         | 1    
5,375,027         | 1    
5,507,308         | 1    
5,559,995         | 1    
5,746,878         | 1    
5,855,580         | 1    
5,948             | 1    
50                | 7    
50,000            | 2    
500               | 1    
500,000           | 2    
5000              | 1    
501               | 1    
501,448           | 1    
51                | 1    
51,863            | 1    
51s               | 1    
51st              | 3    
52                | 1    
52,879            | 1    
523,454           | 1    
53,681,076        | 1    
53s               | 2    
54                | 1    
55                | 1    
55,194            | 1    
55,282,978        | 1    
550,943           | 1    
56,365            | 1    
56,390            | 1    
561,627           | 1    
56lbs             | 1    
59,303            | 1    
596               | 1    
5d                | 2    
5s                | 10   
5th               | 24   
6                 | 115  
6,000,000         | 1    
6,075,000         | 1    
6,547,832         | 1    
6,826,875         | 1    
60                | 2    
600               | 1    
62,679            | 1    
6221541           | 1    
624,614           | 1    
63,092            | 1    
64                | 2    
64,700            | 1    
656,204           | 1    
657,357           | 1    
66                | 1    
666,821           | 1    
670,000           | 1    
68                | 1    
68,514            | 1    
680,000           | 2    
69,144            | 1    
690,449           | 1    
6d                | 19   
6s                | 9    
6th               | 3    
7                 | 38   
7000              | 1    
71                | 1    
72,289,675        | 1    
722,023           | 1    
724,849           | 1    
73                | 2    
74                | 1    
744,000           | 1    
75,000,000        | 1    
76,329            | 1    
78,293,313        | 1    
7th               | 3    
7ths              | 1    
8                 | 146  
8,029,156         | 1    
8,328,354         | 1    
8,328,554         | 1    
8,959,995         | 1    
800               | 1    
800,000           | 1    
8000              | 1    
801               | 1    
809               | 1    
81                | 1    
82,000            | 2    
84                | 1    
84116             | 1    
85                | 1    
85,159            | 1    
850,000           | 1    
87                | 1    
88                | 1    
8d                | 11   
8s                | 5    
8th               | 10   
9                 | 45   
9,177,967         | 1    
9,375,027         | 1    
9,613             | 1    
9,975,017         | 1    
90                | 2    
90,000,000        | 1    
922,029           | 1    
925,176           | 1    
936,974           | 2    
95,500            | 1    
958,895           | 2    
96,000            | 3    
983,254           | 1    
9d                | 4    
9th               | 3    
a                 | 6733 
à                 | 1    
a’s               | 1    
abandon           | 7    
abandoned         | 9    
abandoning        | 2    
abasement         | 1    
abassides         | 1    
abated            | 2    
abatement         | 9    
abating           | 1    
abbacies          | 2    
abbacy            | 1    
abbe              | 1    
abbé              | 2    
abbeville         | 1    
abbot             | 3    
abhor             | 1    
abhorrence        | 6    
abide             | 2    
abilities         | 30   
ability           | 26   
able              | 109  
ablest            | 3    
abode             | 3    
abolish           | 2    
abolished         | 9    
abolishing        | 2    
abolition         | 3    
abound            | 8    
abounded          | 2    
abounding         | 5    
abounds           | 5    
about             | 303  
above             | 249  
abovementioned    | 1    
abraham           | 1    
abridge           | 8    
abridged          | 3    
abridges          | 1    
abridging         | 1    
abroad            | 64   
absence           | 1    
absentee          | 1    
absentees         | 2    
absolute          | 29   
absolutely        | 6    
absorb            | 12   
absorbed          | 2    
absorbing         | 2    
absorbs           | 2    
abstain           | 1    
abstract          | 1    
abstracted        | 1    
abstruse          | 1    
absurd            | 37   
absurdity         | 8    
absurdly          | 3    
abundance         | 36   
abundant          | 24   
abundantly        | 9    
abuse             | 11   
abused            | 5    
abuses            | 8    
abusing           | 2    
abusive           | 2    
abyssinia         | 1    
academic          | 1    
academy           | 2    
acapulco          | 3    
accelerated       | 1    
accelerating      | 2    
accept            | 20   
accepted          | 9    
accepting         | 4    
acceptor          | 3    
accepts           | 2    
access            | 10   
accessed          | 1    
accessible        | 1    
accession         | 5    
accessory         | 1    
accident          | 7    
accidental        | 12   
accidentally      | 1    
accidents         | 18   
accommodate       | 8    
accommodated      | 8    
accommodation     | 9    
accompanied       | 9    
accompanies       | 3    
accompany         | 4    
accomplished      | 2    
accomplishment    | 1    
accomplishments   | 4    
accord            | 28   
accordance        | 2    
according         | 272  
accordingly       | 130  
account           | 273  
accountable       | 4    
accountant        | 1    
accountants       | 1    
accounted         | 13   
accounts          | 65   
accumulate        | 15   
accumulated       | 39   
accumulates       | 2    
accumulating      | 4    
accumulation      | 34   
accuracy          | 7    
accurate          | 14   
accurately        | 2    
accusation        | 2    
accused           | 6    
accusing          | 1    
accustomed        | 28   
achieving         | 1    
achilles          | 1    
acknowledge       | 6    
acknowledged      | 29   
acknowledges      | 1    
acknowledging     | 1    
acknowledgment    | 5    
acorn             | 1    
acquaint          | 1    
acquainted        | 10   
acquire           | 40   
acquired          | 56   
acquirer          | 1    
acquires          | 5    
acquiring         | 21   
acquisition       | 18   
acquisitions      | 9    
acquittance       | 1    
acquitted         | 1    
acre              | 12   
acres             | 3    
across            | 2    
act               | 105  
acted             | 11   
acting            | 3    
action            | 8    
actions           | 8    
active            | 20   
activity          | 4    
actor             | 1    
actors            | 1    
acts              | 14   
actual            | 45   
actually          | 51   
acute             | 1    
acuteness         | 2    
ad                | 1    
adam              | 2    
adapted           | 4    
add               | 20   
added             | 22   
adding            | 2    
addition          | 19   
additional        | 72   
additions         | 2    
address           | 7    
addressed         | 2    
addresses         | 1    
adds              | 30   
adduced           | 2    
adieu             | 1    
adjoining         | 1    
adjudged          | 2    
adjust            | 1    
adjusted          | 2    
adjusting         | 1    
adjusts           | 1    
administer        | 1    
administered      | 2    
administering     | 1    
administration    | 77   
administrator     | 1    
admirable         | 2    
admiral           | 1    
admiralty         | 1    
admiration        | 7    
admired           | 1    
admirers          | 2    
admission         | 10   
admit             | 29   
admits            | 14   
admitted          | 13   
admitting         | 2    
adopt             | 3    
adopted           | 20   
adopting          | 3    
adopts            | 1    
adorned           | 1    
adorning          | 2    
adriatic          | 1    
adulterated       | 4    
adulteration      | 3    
adulterations     | 1    
adulterine        | 1    
advance           | 31   
advanced          | 105  
advancement       | 1    
advances          | 46   
advancing         | 35   
advantage         | 152  
advantageous      | 143  
advantageously    | 7    
advantages        | 60   
adventure         | 8    
adventurer        | 3    
adventurers       | 30   
adventures        | 4    
adventurous       | 1    
adversaries       | 7    
adversity         | 1    
advice            | 2    
advisers          | 1    
aegean            | 1    
aeolians          | 1    
aesop             | 1    
affair            | 1    
affairs           | 31   
affect            | 34   
affectation       | 1    
affected          | 46   
affection         | 7    
affectionate      | 1    
affections        | 2    
affects           | 5    
affinity          | 1    
affirm            | 2    
affix             | 1    
affixed           | 3    
afflicted         | 3    
affluence         | 6    
affluent          | 2    
afford            | 204  
afforded          | 41   
affording         | 14   
affords           | 56   
aforesaid         | 5    
afraid            | 14   
africa            | 25   
african           | 11   
after             | 252  
afterwards        | 104  
again             | 76   
against           | 136  
agamemnon         | 1    
age               | 37   
aged              | 1    
agen              | 1    
agency            | 3    
agent             | 1    
agents            | 19   
ages              | 38   
aggravate         | 5    
aggravated        | 3    
aggravates        | 2    
aggravation       | 3    
aggregate         | 2    
aggrieved         | 2    
agility           | 4    
agio              | 16   
ago               | 44   
agrarian          | 2    
agree             | 19   
agreeable         | 27   
agreeableness     | 3    
agreed            | 11   
agreeing          | 2    
agreement         | 24   
agreements        | 2    
agrees            | 3    
agricultural      | 5    
agriculture       | 128  
agrigentum        | 1    
agrippina         | 1    
aid               | 7    
aides             | 3    
aids              | 2    
aimed             | 1    
aiming            | 1    
aims              | 3    
air               | 5    
airs              | 1    
aix               | 4    
alarm             | 1    
alarmed           | 3    
alarming          | 2    
alcavala          | 2    
ale               | 33   
alehouse          | 4    
alehouses         | 2    
alexander         | 4    
ali               | 1    
alien             | 6    
alienate          | 3    
alienated         | 1    
alienating        | 2    
alienation        | 8    
aliens            | 4    
alike             | 3    
alive             | 6    
alkaline          | 1    
all               | 1855 
allegations       | 1    
allege            | 1    
alleged           | 2    
allegiance        | 1    
alleging          | 1    
alleviate         | 4    
alleviated        | 3    
alleviating       | 2    
alliance          | 2    
allied            | 1    
allies            | 5    
alligator         | 1    
allodial          | 1    
allodially        | 2    
allotment         | 1    
allotted          | 5    
allow             | 21   
allowance         | 11   
allowances        | 5    
allowed           | 100  
allowing          | 13   
allows            | 5    
alloy             | 5    
allure            | 1    
ally              | 4    
almagro           | 1    
almost            | 328  
alone             | 58   
along             | 21   
aloud             | 1    
alps              | 1    
already           | 75   
alsace            | 1    
also              | 14   
alter             | 6    
alteration        | 14   
alterations       | 11   
altered           | 12   
altering          | 4    
alternate         | 1    
alternately       | 2    
although          | 2    
altogether        | 298  
alum              | 1    
always            | 563  
am                | 19   
amassed           | 3    
amassing          | 3    
ambassador        | 6    
ambassadors       | 1    
ambiguity         | 3    
ambiguously       | 1    
ambition          | 15   
ambitious         | 2    
ameliorations     | 1    
amenable          | 1    
amends            | 1    
amercement        | 3    
america           | 200  
american          | 51   
americans         | 6    
amidst            | 5    
amilcar           | 1    
ammunition        | 2    
among             | 245  
amongst           | 2    
amount            | 127  
amounted          | 77   
amounting         | 11   
amounts           | 25   
ample             | 2    
amply             | 1    
amsterdam         | 29   
amuse             | 2    
amused            | 2    
amusement         | 5    
amusements        | 9    
amusing           | 2    
an                | 855  
analogy           | 1    
anarchy           | 2    
ancestors         | 10   
ancient           | 224  
anciently         | 14   
ancients          | 3    
and               | 10355
anderson          | 1    
anderson’s        | 2    
angola            | 2    
animal            | 18   
animals           | 15   
animate           | 8    
animated          | 3    
animates          | 2    
animosity         | 13   
annals            | 1    
anne              | 11   
annex             | 1    
annexed           | 5    
annexing          | 1    
annibal           | 8    
annihilate        | 3    
annihilated       | 4    
announce          | 1    
announced         | 1    
annual            | 320  
annually          | 134  
annuelles         | 1    
annuitant         | 2    
annuitants        | 1    
annuities         | 43   
annuity           | 33   
another           | 321  
another’s         | 3    
answer            | 12   
answerable        | 2    
answered          | 6    
answering         | 21   
antecedent        | 4    
anticipated       | 2    
anticipating      | 2    
anticipation      | 6    
anticipations     | 6    
antidote          | 1    
antigua           | 2    
antipathy         | 1    
antiquarians      | 1    
antiquated        | 2    
antiquities       | 1    
antiquity         | 6    
antoninus         | 1    
antwerp           | 3    
anxiety           | 9    
anxious           | 5    
any               | 1641 
anybody           | 10   
anymore           | 1    
anyone            | 8    
anything          | 13   
anytime           | 1    
anywhere          | 22   
apartment         | 1    
aperea            | 1    
apoixia           | 1    
apologizes        | 1    
apologues         | 1    
apology           | 2    
apophthegms       | 1    
apoplexy          | 1    
apothecaries      | 1    
apothecary        | 3    
apothecary’s      | 1    
apparent          | 8    
apparently        | 2    
appeal            | 4    
appealed          | 1    
appear            | 100  
appearance        | 15   
appearances       | 1    
appeared          | 15   
appearing         | 5    
appears           | 59   
appease           | 1    
appeased          | 1    
appellation       | 6    
appendages        | 3    
appendix          | 4    
applauses         | 1    
apples            | 1    
applicable        | 6    
application       | 37   
applied           | 44   
applies           | 1    
apply             | 13   
applying          | 5    
appoint           | 2    
appointed         | 15   
appointing        | 3    
appointment       | 4    
appointments      | 1    
appoints          | 1    
apprehend         | 12   
apprehended       | 1    
apprehensions     | 2    
apprentice        | 11   
apprentices       | 14   
apprenticeship    | 29   
apprenticeships   | 7    
approach          | 6    
approached        | 3    
approaches        | 7    
approaching       | 3    
approbation       | 3    
appropriation     | 3    
approve           | 3    
approved          | 2    
approximation     | 2    
approximations    | 1    
april             | 6    
apt               | 27   
aqueduct          | 1    
aquire            | 1    
arab              | 3    
arabia            | 2    
arabian           | 4    
arabic            | 1    
arable            | 2    
arabs             | 4    
arbitrary         | 26   
arbitration       | 3    
arbuthnot         | 1    
archbishop        | 2    
archery           | 1    
archipelago       | 1    
architects        | 1    
archive           | 13   
ardour            | 1    
are               | 2191 
argument          | 8    
arguments         | 9    
argyll            | 1    
arise             | 28   
arisen            | 12   
arises            | 40   
arising           | 36   
aristocracies     | 1    
aristocracy       | 6    
aristotle         | 5    
arithmetic        | 4    
arithmetical      | 2    
arm               | 3    
armada            | 2    
armed             | 1    
armies            | 34   
armour            | 2    
armourer          | 1    
arms              | 29   
army              | 72   
arose             | 17   
arragon           | 1    
arrange           | 2    
arranged          | 1    
arrangement       | 4    
array             | 1    
arrear            | 2    
arrears           | 2    
arrivals          | 1    
arrive            | 10   
arrived           | 9    
arrogant          | 1    
arrows            | 4    
art               | 49   
artfully          | 2    
article           | 29   
articles          | 37   
artifice          | 1    
artificer         | 34   
artificers        | 72   
artifices         | 1    
artificial        | 7    
artificially      | 3    
artillery         | 3    
artists           | 2    
artizans          | 1    
arts              | 48   
as                | 3099 
ascendants        | 2    
ascended          | 1    
ascertain         | 20   
ascertained       | 13   
ascertaining      | 5    
ascertains        | 2    
ascetic           | 2    
ascii             | 2    
ascribe           | 1    
ascribed          | 5    
asdrubal          | 4    
ashamed           | 2    
ashes             | 1    
asia              | 21   
asiatic           | 1    
aside             | 6    
asinius           | 2    
ask               | 3    
asked             | 5    
asking            | 1    
aspire            | 1    
ass               | 1    
assault           | 1    
assaying          | 3    
assemble          | 1    
assembled         | 2    
assemblies        | 23   
assembling        | 1    
assembly          | 16   
assentation       | 2    
assert            | 2    
asserted          | 6    
asserting         | 2    
assertion         | 1    
asses             | 2    
assesed           | 1    
assess            | 2    
assessed          | 40   
assesses          | 4    
assessing         | 1    
assessment        | 19   
assessments       | 1    
assessors         | 5    
assiento          | 2    
assign            | 3    
assigned          | 14   
assigning         | 4    
assignment        | 6    
assignments       | 1    
assigns           | 1    
assist            | 6    
assistance        | 31   
assisted          | 4    
assize            | 12   
associated        | 9    
associations      | 1    
assortment        | 1    
assume            | 3    
assumed           | 5    
assumes           | 5    
assuming          | 1    
assurance         | 2    
assure            | 1    
assured           | 29   
assuredly         | 1    
assures           | 2    
astonish          | 1    
astonished        | 1    
astonishment      | 1    
at                | 1700 
athenians         | 2    
athens            | 9    
atlantic          | 3    
attach            | 1    
attached          | 6    
attachment        | 2    
attack            | 6    
attacked          | 5    
attacking         | 1    
attacks           | 3    
attain            | 1    
attained          | 2    
attaining         | 1    
attempt           | 37   
attempted         | 25   
attempting        | 7    
attempts          | 11   
attend            | 25   
attendance        | 4    
attendant         | 1    
attendants        | 1    
attended          | 30   
attending         | 3    
attends           | 8    
attention         | 106  
attentions        | 1    
attentive         | 9    
attested          | 1    
attetitive        | 1    
attorney          | 3    
attorneys         | 7    
attract           | 6    
attracted         | 1    
attracting        | 1    
attraction        | 1    
attractions       | 2    
attracts          | 2    
attributes        | 2    
auction           | 1    
audience          | 1    
auditors          | 2    
augment           | 36   
augmentation      | 24   
augmentations     | 1    
augmented         | 59   
augmenting        | 19   
augments          | 10   
august            | 7    
augustine’s       | 1    
augustus          | 2    
aulnagers         | 1    
auspices          | 1    
austere           | 7    
austerities       | 2    
austerity         | 1    
austria           | 2    
austrian          | 2    
austrians         | 1    
authentic         | 4    
authenticated     | 4    
author            | 29   
authorised        | 2    
authorises        | 2    
authority         | 135  
authorized        | 1    
authors           | 13   
avail             | 2    
available         | 2    
avarice           | 6    
average           | 133  
averse            | 4    
aversion          | 3    
avidity           | 7    
avoid             | 9    
avoided           | 2    
avoiding          | 1    
avoirdupois       | 3    
avow              | 1    
avowed            | 13   
awake             | 1    
awaken            | 1    
awakening         | 1    
aware             | 2    
away              | 73   
awe               | 1    
awful             | 1    
awkward           | 3    
awkwardness       | 2    
ayres             | 3    
ayrshire          | 1    
azores            | 1    
b                 | 18   
babylon           | 1    
babylonian        | 1    
bachelors         | 1    
back              | 89   
backward          | 2    
backwardness      | 2    
backwards         | 10   
bad               | 52   
badge             | 3    
badges            | 4    
badness           | 4    
bahama            | 1    
bailiff           | 5    
bailiffs          | 4    
baked             | 2    
baker             | 8    
baker’s           | 1    
bakers            | 2    
balance           | 72   
balances          | 2    
balancing         | 1    
balboa            | 1    
bales             | 1    
balista           | 2    
baltic            | 6    
bananas           | 1    
banditti          | 1    
bands             | 1    
banished          | 3    
banishes          | 2    
bank              | 272  
banker            | 14   
bankers           | 23   
banking           | 38   
banknotes         | 1    
bankrupt          | 10   
bankruptcies      | 5    
bankruptcy        | 16   
bankrupts         | 4    
banks             | 57   
banner            | 1    
banquet           | 1    
bar               | 8    
barbadoes         | 2    
barbarians        | 3    
barbarism         | 7    
barbarous         | 39   
barbary           | 2    
bare              | 4    
barefooted        | 2    
barely            | 10   
bargain           | 4    
bargaining        | 1    
bargains          | 1    
bark              | 1    
barley            | 20   
barn              | 1    
baron             | 6    
baronies          | 1    
barons            | 16   
barony            | 1    
barrack           | 1    
barrel            | 44   
barrels           | 14   
barrelstaves      | 1    
barren            | 24   
barrenness        | 13   
barretti          | 2    
barriers          | 1    
bars              | 11   
barter            | 11   
bartered          | 2    
base              | 5    
based             | 2    
basil             | 1    
batavia           | 4    
bath              | 1    
battle            | 7    
battles           | 4    
baubles           | 4    
bavaria           | 1    
bay               | 8    
bayonne           | 1    
bazinghen         | 1    
be                | 3845 
beans             | 3    
bear              | 42   
bearer            | 7    
bearing           | 4    
bears             | 24   
beast             | 5    
beasts            | 2    
beats             | 1    
beau              | 1    
beautiful         | 7    
beautify          | 1    
beauty            | 13   
beaver            | 10   
became            | 64   
because           | 144  
becket            | 1    
become            | 144  
becomes           | 90   
becoming          | 15   
bed               | 4    
beds              | 1    
beef              | 5    
been              | 1670 
beer              | 40   
befal             | 1    
befel             | 1    
before            | 446  
beforehand        | 4    
beg               | 2    
began             | 36   
beggar            | 5    
beggaring         | 1    
beggarly          | 8    
beggars           | 2    
beggary           | 3    
begging           | 3    
begin             | 10   
beginning         | 50   
beginnings        | 7    
begins            | 12   
begun             | 15   
behave            | 3    
behaviour         | 3    
beheld            | 1    
behind            | 8    
behold            | 1    
being             | 430  
beings            | 1    
belgia            | 1    
