================================================================================
Count of Words: Data Structure Edition - Output Report
================================================================================
Arquivo Analisado: input/the-secret-garden.txt
Estrutura de Dados: Árvore Rubro-Negra
Data de execução: sábado, 12 de julho de 2025 - 12:48:21
Quantidade de palavras: 84516

================================================================================
Tabela de Frequências
================================================================================
Palavra           | Frequência
brood             | 2   
brooded           | 2   
broom             | 3   
brother           | 5   
brothers          | 6   
brougham          | 1   
brought           | 40  
brown             | 10  
browned           | 1   
brownish          | 1   
brows             | 3   
browt             | 1   
brush             | 4   
brushed           | 1   
brushes           | 1   
brute             | 2   
bubbled           | 1   
buckingham        | 1   
bud               | 2   
buds              | 12  
buffeting         | 1   
build             | 5   
buildin           | 5   
building          | 5   
built             | 3   
bulbs             | 8   
bumped            | 1   
bunch             | 1   
bundle            | 1   
bungalow          | 7   
bungalows         | 1   
buns              | 7   
burden            | 1   
buried            | 19  
burly             | 1   
burned            | 1   
burnett           | 2   
burning           | 1   
burrow            | 1   
burrows           | 2   
burst             | 13  
burstin           | 1   
bursting          | 1   
bursts            | 1   
buses             | 1   
bush              | 21  
bushes            | 15  
bushy             | 3   
busier            | 1   
busily            | 2   
business          | 5   
busy              | 15  
but               | 479 
butcher           | 1   
butler            | 1   
butt              | 1   
butter            | 4   
buttered          | 2   
butterflies       | 3   
buttermilk        | 2   
butterworth       | 1   
button            | 2   
buttoned          | 1   
buttons           | 1   
buy               | 9   
buys              | 1   
by                | 179 
c                 | 6   
cabbage           | 1   
cabbages          | 4   
cabinet           | 5   
cabs              | 1   
cake              | 2   
calculate         | 1   
calculated        | 1   
call              | 17  
called            | 26  
callin            | 6   
calling           | 9   
calls             | 6   
calm              | 3   
calmly            | 1   
calmness          | 3   
calves            | 1   
came              | 95  
camels            | 3   
campanulas        | 2   
can               | 139 
can’t             | 30  
candle            | 5   
canna             | 5   
cannot            | 13  
canopy            | 7   
canterbury        | 1   
cap               | 6   
captain           | 11  
captain’s         | 1   
card              | 1   
care              | 33  
cared             | 2   
careful           | 12  
carefully         | 10  
carefulness       | 1   
cares             | 3   
carpet            | 6   
carriage          | 20  
carried           | 10  
carrots           | 1   
carry             | 9   
carryin           | 2   
carrying          | 1   
cart              | 3   
carved            | 3   
carven            | 2   
cascades          | 1   
case              | 3   
cast              | 2   
castle            | 1   
cat               | 2   
catch             | 1   
catchin           | 1   
cats              | 2   
caught            | 19  
cause             | 3   
cautious          | 2   
caw               | 9   
cawed             | 3   
cawing            | 1   
cease             | 3   
ceased            | 7   
ceiling           | 1   
center            | 1   
centuries         | 1   
century           | 5   
ceremony          | 2   
certain           | 8   
certainly         | 4   
chair             | 32  
chairs            | 2   
chamber           | 2   
champion          | 3   
chance            | 6   
chances           | 1   
change            | 12  
changed           | 10  
changing          | 10  
chant             | 2   
chantin           | 1   
chanting          | 3   
chap              | 12  
chap’s            | 1   
chaps             | 1   
chapter           | 27  
charge            | 8   
charges           | 1   
charitable        | 1   
charities         | 1   
charm             | 3   
charmer           | 8   
charmer’s         | 2   
charmers          | 2   
charming          | 1   
charms            | 3   
chase             | 1   
chased            | 1   
chat              | 1   
chattered         | 2   
chattering        | 1   
check             | 4   
checked           | 1   
checks            | 1   
cheek             | 3   
cheeked           | 3   
cheeks            | 24  
cheeky            | 1   
cheer             | 4   
cheered           | 2   
cheerful          | 13  
cheerfully        | 1   
cherries          | 1   
cherry            | 3   
chest             | 3   
chicken           | 2   
chief             | 2   
child             | 60  
child’s           | 2   
childish          | 4   
children          | 53  
children’s        | 1   
chilly            | 1   
chimneys          | 1   
chin              | 4   
chippering        | 1   
chirp             | 6   
chirped           | 6   
chirps            | 1   
chiseled          | 1   
choir             | 1   
choke             | 1   
choked            | 4   
choking           | 2   
cholera           | 7   
choose            | 2   
choosers          | 1   
chose             | 1   
chosen            | 2   
chuckle           | 1   
chuckled          | 8   
chuckles          | 1   
chuckling         | 2   
church            | 7   
cinders           | 1   
circle            | 3   
circles           | 1   
circumstances     | 1   
city              | 1   
civil             | 1   
claim             | 1   
clambered         | 1   
clasped           | 1   
clean             | 11  
clear             | 15  
cleared           | 3   
clearer           | 1   
clearing          | 1   
clearings         | 1   
clearly           | 1   
clemmin           | 1   
clench            | 1   
clergyman         | 1   
clergyman’s       | 1   
clever            | 8   
cleverer          | 1   
climb             | 2   
climbed           | 7   
climbing          | 9   
clinging          | 2   
clipped           | 4   
cloak             | 4   
clock             | 2   
clod              | 1   
close             | 28  
closed            | 16  
closely           | 1   
closer            | 6   
cloth             | 2   
clothes           | 14  
clotted           | 3   
cloud             | 1   
clouds            | 7   
clump             | 2   
clumping          | 1   
clumps            | 5   
clumsy            | 4   
clustered         | 1   
clusters          | 1   
clutch            | 1   
clutched          | 4   
coach             | 1   
coachman          | 1   
coal              | 2   
coarse            | 1   
coat              | 11  
coats             | 1   
coax              | 1   
coaxed            | 1   
coaxing           | 2   
cobwebs           | 1   
cock              | 2   
cockle            | 2   
codes             | 1   
cold              | 13  
coldly            | 3   
colds             | 1   
colin             | 304 
colin’s           | 29  
colins            | 1   
collar            | 1   
collars           | 1   
collected         | 1   
collection        | 6   
collie            | 1   
colonel           | 1   
color             | 20  
colored           | 10  
colorless         | 1   
colors            | 1   
columbine         | 2   
columbines        | 1   
combined          | 1   
come              | 177 
comes             | 14  
comfortable       | 16  
comfortably       | 2   
comforted         | 2   
comforting        | 1   
comin             | 8   
coming            | 38  
command           | 2   
commanded         | 5   
comment           | 1   
commercial        | 1   
committed         | 1   
common            | 10  
communicate       | 1   
como              | 1   
companion         | 1   
companions        | 2   
companionship     | 1   
company           | 3   
compare           | 2   
compilation       | 1   
complainin        | 2   
complaining       | 1   
complainingly     | 1   
complains         | 1   
compliance        | 5   
comply            | 6   
complying         | 3   
compound          | 1   
compressed        | 1   
computer          | 2   
computers         | 2   
conceal           | 1   
concealed         | 1   
concealing        | 1   
conceited         | 2   
concept           | 2   
concerning        | 2   
concert           | 1   
condescended      | 2   
condition         | 1   
conduct           | 1   
confessed         | 2   
confidence        | 1   
confirmation      | 1   
confirmed         | 3   
confused          | 1   
confusion         | 1   
consequence       | 1   
consequential     | 1   
considerable      | 2   
considering       | 1   
consort           | 1   
constant          | 1   
constantly        | 2   
consult           | 1   
contact           | 4   
contain           | 2   
contained         | 2   
containing        | 2   
content           | 1   
contents          | 1   
continued         | 2   
contract          | 1   
contradict        | 1   
contradicted      | 2   
contrariness      | 1   
contrary          | 20  
contributions     | 2   
control           | 3   
convert           | 1   
conveyed          | 1   
convincing        | 2   
cook              | 3   
cool              | 3   
coolly            | 1   
copied            | 2   
copies            | 7   
copious           | 1   
copy              | 12  
copying           | 4   
copyright         | 20  
cord              | 3   
cording           | 1   
corner            | 18  
corners           | 8   
corporation       | 1   
corridor          | 26  
corridors         | 9   
corrupt           | 1   
cost              | 4   
costs             | 2   
costumes          | 1   
cottage           | 34  
cottager          | 1   
cottages          | 2   
cough             | 2   
coughs            | 1   
could             | 237 
couldn’t          | 22  
couldna           | 5   
count             | 3   
counted           | 7   
countries         | 1   
country           | 8   
courage           | 3   
courageous        | 2   
course            | 26  
court             | 1   
courtin           | 3   
courtyard         | 2   
cousin            | 7   
cousins           | 1   
cover             | 5   
covered           | 15  
covering          | 2   
coverings         | 1   
cow               | 2   
crabbed           | 4   
crash             | 2   
craven            | 106 
craven’ll         | 1   
craven’s          | 7   
crawford          | 6   
crazy             | 6   
cream             | 4   
created           | 3   
creating          | 4   
creation          | 1   
creature          | 13  
creatures         | 26  
credit            | 3   
crediting         | 1   
creep             | 2   
creepers          | 1   
creeping          | 6   
crep              | 1   
crêpe             | 1   
crept             | 9   
cress             | 1   
crevice           | 1   
crevices          | 1   
cried             | 62  
cries             | 2   
crime             | 1   
crimson           | 1   
cripple           | 5   
crippled          | 1   
critical          | 2   
crocuses          | 8   
crooked           | 8   
crookedness       | 1   
cross             | 19  
crossed           | 2   
crosser           | 2   
crossin           | 1   
crossly           | 3   
crossness         | 1   
crow              | 13  
crowd             | 2   
crowded           | 3   
crowding          | 2   
crowds            | 1   
crown             | 1   
crows             | 1   
cruel             | 1   
crumbled          | 1   
crumbs            | 1   
crumpet           | 1   
crumpets          | 1   
crushed           | 1   
crust             | 1   
crustily          | 1   
crusty            | 1   
cry               | 12  
cryin             | 1   
crying            | 36  
crystal           | 2   
cub               | 5   
cubs              | 2   
cuddled           | 1   
cum               | 1   
cup               | 3   
cups              | 1   
cure              | 1   
curiosity         | 8   
curious           | 31  
curiousest        | 1   
curiously         | 10  
curiousness       | 2   
curled            | 3   
curly             | 3   
currant           | 2   
currants          | 1   
current           | 1   
curtain           | 14  
curtains          | 2   
curtsies          | 2   
curtsy            | 1   
curved            | 2   
curving           | 4   
cushion           | 9   
cushioned         | 3   
cushions          | 6   
custom            | 5   
cut               | 9   
d                 | 1   
daffodils         | 3   
daffydowndillys   | 3   
damage            | 2   
damaged           | 1   
damages           | 4   
damp              | 3   
dance             | 2   
danced            | 3   
dancing           | 1   
dang              | 1   
danged            | 1   
danger            | 1   
dangerous         | 5   
dangerously       | 1   
dappling          | 1   
dare              | 13  
dared             | 11  
daren’t           | 8   
dares             | 1   
dark              | 25  
darkest           | 1   
darkness          | 5   
darling           | 1   
darted            | 2   
dartin            | 1   
darting           | 1   
dash              | 1   
dashed            | 2   
dashing           | 1   
data              | 1   
date              | 3   
dated             | 1   
daughter          | 4   
daughter’s        | 1   
dawn              | 1   
dawning           | 1   
day               | 102 
day’s             | 4   
daylight          | 2   
days              | 32  
daytime           | 1   
dead              | 33  
deadness          | 1   
deal              | 25  
dear              | 7   
death             | 7   
decide            | 1   
decided           | 5   
decision          | 1   
declared          | 1   
deductible        | 1   
deep              | 19  
deepened          | 1   
deepening         | 2   
deeper            | 5   
deeply            | 1   
defect            | 3   
defective         | 3   
defects           | 1   
defiantly         | 1   
deformed          | 1   
defy              | 1   
defying           | 1   
del               | 1   
deletions         | 1   
delicate          | 9   
delicately        | 3   
delicatest        | 1   
delicious         | 1   
deliciously       | 1   
delight           | 10  
delighted         | 5   
delightedly       | 4   
delightful        | 7   
delightfully      | 1   
delightfulness    | 1   
delights          | 1   
delphiniums       | 1   
demand            | 1   
demanded          | 8   
den               | 1   
dense             | 1   
denying           | 1   
depends           | 1   
derivative        | 3   
derive            | 1   
derived           | 2   
dervishes         | 1   
descended         | 1   
describe          | 1   
described         | 3   
describing        | 1   
descriptions      | 1   
desert            | 1   
deserted          | 4   
deserve           | 1   
desire            | 2   
desired           | 1   
desolate          | 2   
desolation        | 1   
desperation       | 1   
despite           | 1   
destroy           | 2   
detach            | 1   
detail            | 1   
details           | 2   
determination     | 2   
determine         | 1   
determined        | 4   
determinedly      | 1   
detestation       | 1   
detested          | 2   
develop           | 1   
devote            | 1   
devotees          | 1   
devour            | 1   
devoured          | 1   
devouring         | 1   
dew               | 2   
dewdrop           | 2   
dial              | 1   
dialect           | 2   
dialects          | 1   
diamonds          | 2   
dickon            | 281 
dickon’s          | 31  
dictated          | 1   
did               | 287 
didn’t            | 44  
didna             | 1   
die               | 28  
died              | 20  
difference        | 1   
different         | 39  
difficult         | 2   
difficulties      | 1   
difficulty        | 3   
dig               | 14  
digestion         | 1   
digger            | 1   
diggin            | 5   
digging           | 14  
dignified         | 1   
dignity           | 2   
dim               | 2   
dimly             | 2   
diners            | 1   
dining            | 1   
dinner            | 13  
dinner’s          | 1   
dip               | 1   
direct            | 2   
directed          | 1   
directly          | 1   
dirt              | 1   
disagree          | 1   
disagreeable      | 11  
disagreed         | 1   
disagrees         | 1   
disappeared       | 2   
disappoint        | 1   
disappointed      | 3   
disappointedly    | 1   
disclaim          | 1   
disclaimer        | 3   
disclaimers       | 1   
discomfited       | 1   
disconcerting     | 1   
discontinue       | 1   
discouraged       | 1   
discouraging      | 1   
discover          | 2   
discovered        | 3   
discoverer        | 2   
discoveries       | 6   
discovery         | 3   
disdain           | 1   
disdainfully      | 2   
disdaining        | 1   
disentangle       | 1   
disgraceful       | 1   
disgracefully     | 1   
dishes            | 2   
disk              | 1   
disliked          | 6   
dislikes          | 1   
disobey           | 1   
display           | 1   
displayed         | 1   
displaying        | 4   
displeased        | 1   
disrespectful     | 1   
distance          | 6   
distended         | 1   
distinct          | 1   
distinctly        | 1   
distinguish       | 1   
distracted        | 2   
distribute        | 6   
distributed       | 4   
distributing      | 7   
distribution      | 6   
distributor       | 1   
disturb           | 1   
disturbed         | 8   
disturbing        | 1   
divide            | 1   
do                | 289 
doctor            | 16  
doctor’s          | 3   
doctors           | 3   
does              | 62  
doesn’t           | 46  
dog               | 4   
dogs              | 2   
doin              | 5   
doing             | 29  
doleful           | 1   
doll              | 2   
dolls             | 2   
domain            | 3   
domestic          | 1   
don’t             | 116 
donate            | 5   
donation          | 1   
donations         | 15  
done              | 55  
donors            | 1   
door              | 128 
doors             | 25  
doubt             | 4   
doubted           | 1   
doubtful          | 2   
doughcake         | 1   
down              | 153 
downloading       | 1   
downright         | 2   
downstairs        | 11  
downward          | 1   
doxology          | 5   
doze              | 2   
dozen             | 1   
dozens            | 2   
dr                | 48  
draft             | 1   
drag              | 2   
dragged           | 4   
dragging          | 1   
drama             | 1   
dramatic          | 1   
drank             | 3   
drat              | 1   
draughts          | 1   
draw              | 5   
drawing           | 13  
drawn             | 11  
draws             | 1   
dreaded           | 1   
dreadful          | 3   
dreadfully        | 1   
dream             | 19  
dreamed           | 5   
dreaming          | 3   
dreams            | 3   
dreamy            | 2   
dreary            | 4   
dress             | 12  
dressed           | 7   
dresser           | 1   
dresses           | 1   
dressing          | 4   
drew              | 13  
drifted           | 1   
drifting          | 1   
drill             | 1   
drink             | 3   
drinkin           | 1   
dripping          | 1   
drive             | 6   
driven            | 5   
drivin            | 1   
driving           | 2   
drone             | 1   
drop              | 4   
dropped           | 15  
droppin           | 1   
dropping          | 1   
drops             | 2   
drove             | 8   
drowned           | 2   
drowsily          | 5   
drowsy            | 3   
drumsticks        | 1   
drunk             | 2   
drunken           | 1   
dry               | 8   
dryest            | 1   
dryly             | 2   
dug               | 12  
dull              | 8   
during            | 6   
duties            | 4   
duty              | 3   
dwarf             | 1   
dying             | 9   
e                 | 23  
each              | 53  
eager             | 7   
eagerly           | 7   
eagerness         | 4   
ear               | 2   
eared             | 1   
early             | 12  
earnest           | 2   
ears              | 8   
earth             | 60  
easier            | 4   
easiest           | 1   
easily            | 5   
east              | 1   
easy              | 8   
eat               | 22  
eaten             | 4   
eatin             | 1   
eating            | 3   
eats              | 1   
ebook             | 13  
ebooks            | 7   
echoed            | 2   
ecstasy           | 2   
edge              | 9   
edition           | 1   
editions          | 4   
educational       | 1   
effect            | 4   
effort            | 3   
efforts           | 4   
egg               | 3   
egg’s             | 1   
eggs              | 17  
eh                | 66  
eight             | 3   
ein               | 1   
either            | 15  
elaborately       | 1   
elbow             | 1   
elbows            | 2   
elderly           | 2   
elders            | 1   
elect             | 1   
electric          | 1   
electricity       | 1   
electronic        | 27  
electronically    | 2   
elephants         | 9   
eleven            | 1   
elfish            | 1   
ellen             | 4   
else              | 25  
else’s            | 1   
elsewhere         | 1   
em                | 75  
em’ll             | 1   
em’s              | 2   
email             | 2   
embarrassed       | 1   
embowered         | 1   
embroidered       | 3   
emeralds          | 2   
emotion           | 1   
employed          | 1   
employee          | 1   
employees         | 1   
empty             | 9   
encircled         | 1   
enclosed          | 2   
encouragingly     | 1   
end               | 30  
ended             | 19  
endless           | 1   
ends              | 1   
endure            | 1   
energetic         | 1   
engagingly        | 1   
england           | 11  
english           | 7   
enjoy             | 4   
enjoyed           | 8   
enjoyin           | 3   
enjoying          | 1   
enjoyment         | 2   
enormous          | 2   
enough            | 52  
enow              | 6   
enraptured        | 2   
ensuring          | 1   
entered           | 12  
entertained       | 1   
entertaining      | 2   
entertainment     | 1   
entire            | 3   
entirely          | 4   
entity            | 3   
entrance          | 2   
entranced         | 2   
envelope          | 2   
equals            | 1   
equipment         | 3   
ere               | 4   
errands           | 2   
errors            | 1   
es                | 1   
escaped           | 1   
especially        | 2   
estate            | 1   
etc               | 1   
europe            | 1   
even              | 84  
evening           | 4   
event             | 1   
events            | 1   
ever              | 122 
evergreen         | 2   
evergreens        | 1   
every             | 78  
everybody         | 21  
everyone          | 17  
everything        | 40  
everywhere        | 9   
evident           | 2   
evidently         | 9   
exact             | 1   
exactly           | 9   
exaggerated       | 1   
examined          | 3   
examining         | 1   
except            | 15  
excited           | 16  
excitedly         | 3   
excitement        | 12  
excites           | 1   
exciting          | 2   
exclaimed         | 22  
exclamation       | 2   
exclamations      | 1   
exclusion         | 1   
excursions        | 1   
excuse            | 2   
excuses           | 1   
exempt            | 2   
exercise          | 6   
exercised         | 2   
exercises         | 5   
exhibited         | 1   
existence         | 1   
exists            | 1   
expanse           | 2   
expect            | 3   
expected          | 5   
expend            | 1   
expense           | 1   
expenses          | 2   
experienced       | 1   
experiment        | 13  
explain           | 3   
explained         | 15  
explanation       | 2   
explore           | 3   
explored          | 1   
exploring         | 1   
exporting         | 1   
express           | 1   
expressed         | 1   
expression        | 17  
extend            | 1   
extended          | 2   
extent            | 1   
extra             | 2   
extraordinarily   | 1   
extreme           | 1   
extremely         | 2   
exultantly        | 6   
exultation        | 1   
eye               | 5   
eyes              | 135 
f                 | 11  
face              | 117 
faced             | 4   
faces             | 8   
facility          | 1   
fact              | 22  
fading            | 1   
faint             | 5   
faintly           | 1   
fair              | 19  
fairies           | 1   
fairly            | 2   
fairy             | 7   
faith             | 1   
fakirs            | 4   
fall              | 1   
fallen            | 3   
falling           | 6   
falls             | 2   
falter            | 1   
faltered          | 4   
familiar          | 3   
familiarly        | 1   
family            | 2   
fancied           | 1   
fanciful          | 1   
fancy             | 7   
fantastically     | 1   
far               | 25  
farther           | 4   
fascinating       | 3   
fascination       | 1   
fashion           | 6   
fashioned         | 1   
fast              | 12  
fastened          | 3   
fastenings        | 1   
faster            | 5   
fat               | 9   
fatal             | 1   
fatally           | 1   
father            | 36  
father’s          | 4   
fathers           | 2   
fattens           | 1   
fatter            | 12  
fauntleroy        | 1   
favor             | 1   
favorite          | 2   
fear              | 5   
feared            | 1   
fearfully         | 1   
fears             | 3   
feast             | 1   
feather           | 2   
feathered         | 1   
feathers          | 4   
feathery          | 1   
features          | 1   
